index,state,time
1,2 2 1 0 7 3 11 2 2 5 9 0 0 4,2021-06-08 03:06:58.049001,1
2,0 4 3 2 8 1 12 4 1 6 0 1 1 5,2021-06-08 03:07:59.947706,1
3,4 4 0 5 0 0 3 1 2 8 7 7 6 1,2021-06-08 03:32:30.349794,0,2
